Country,State,District,Year,Name Of The Project,Sector,Physical Progress Of The Project,Cost Of The Project (UOM:INR(IndianRupees)),Approved Amount Of Grant-In-Aid (UOM:INR(IndianRupees)),Total Amount Of Grant Released (UOM:INR(IndianRupees))
India,MAHARASHTRA,NASHIK,"Calendar Year (Jan - Dec), 2021",Gonglu Agro Pvt Ltd,F&V,Commercial production started,20.47,7.69,7.69
India,MAHARASHTRA,NAGPUR,"Calendar Year (Jan - Dec), 2021",Haldiram Foods Intl. Limited,F&V,Commercial production started,28,6.11,6.11
India,MAHARASHTRA,RAIGAD,"Calendar Year (Jan - Dec), 2021",Cold Star Logistics Pvt. Ltd.,F&V,Commercial production started,23.26,9.24,9.24
India,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,"Calendar Year (Jan - Dec), 2021",Andman Cold Chain,Fishery,65% progress,5,2.45,2
India,TAMIL NADU,ERODE,"Calendar Year (Jan - Dec), 2021","SKM Animal Feeds and Foods (India) Limited,",Meat,Commercial production started,24.75,4.85,4.85
India,RAJASTHAN,BIKANER,"Calendar Year (Jan - Dec), 2021",Nokha Agrotech Pvt. Ltd,"F&V (F&V, Spices)",Commercial production started,41.09,7.66,7.66
India,MIZORAM,AIZAWL,"Calendar Year (Jan - Dec), 2021",Zoram Fish Seeds Production Centre,Fishery,Commercial production started,17.26,9.74,9.74
India,MIZORAM,AIZAWL,"Calendar Year (Jan - Dec), 2021",Mizofa Fish Seed Farm,Fishery,Commercial production started,5.2,3.03,3.03
India,ANDHRA PRADESH,WEST GODAVARI,"Calendar Year (Jan - Dec), 2021",Mourya Aquex Pvt ltd,Marine,Commercial production started,44.77,9.83,9.83
India,JAMMU AND KASHMIR,PULWAMA,"Calendar Year (Jan - Dec), 2021",Khyber Agro Farms Pvt. Ltd,Dairy,65% progress,10.26,6,3.48
India,MAHARASHTRA,AHMEDNAGAR,"Calendar Year (Jan - Dec), 2021",Prabhat Dairy Ltd,Dairy,Commercial production started,26.48,8.44,8.44
India,GUJARAT,AHMADABAD,"Calendar Year (Jan - Dec), 2021",Ahmedabad District Co – operative Milk Producer’s Union Limited,Dairy,Commercial production started,176.74,9.82,9.82
India,UTTARAKHAND,HARIDWAR,"Calendar Year (Jan - Dec), 2021",Mohyal Foods Private Limited,F&V,Commercial production started,16.82,9.55,9.55
India,ANDHRA PRADESH,GUNTUR,"Calendar Year (Jan - Dec), 2021",Suryas Exports Private Limited,RTE,Under Implementation,8.57,1.58,
India,UTTARAKHAND,UDAM SINGH NAGAR,"Calendar Year (Jan - Dec), 2021",B.P. Frozen Foods,F&V,Commercial production started,17.25,10,10
India,TAMIL NADU,ERODE,"Calendar Year (Jan - Dec), 2021",Sivasakthi Milk Dairy,Dairy,Under Implementation,16.75,5.04,
India,KARNATAKA,VIJAYAPURA,"Calendar Year (Jan - Dec), 2021",Hitech Food Process,F&V,Reported completion of project,15,8.62,6.76
India,ANDHRA PRADESH,EAST GODAVARI,"Calendar Year (Jan - Dec), 2021",Nekkanti Sea Foods Ltd,Seafood,Commercial production started,48.32,10,10
India,UTTARAKHAND,UDAM SINGH NAGAR,"Calendar Year (Jan - Dec), 2021",S. K. Frozen Foods,F&V,65% progress,15.6,9.49,6.17
India,ANDHRA PRADESH,WEST GODAVARI,"Calendar Year (Jan - Dec), 2021",N K Marine Exports LLP,Marine,65% progress,52.5,10,6.5
India,ANDHRA PRADESH,KRISHNA,"Calendar Year (Jan - Dec), 2021",Mulpuri Aqua Processors Pvt Ltd,Fishery,Under Implementation,24.48,6.72,
India,HARYANA,SONIPAT,"Calendar Year (Jan - Dec), 2021",Sterling Agro Industries Limited,Dairy,Reported 65% progress,26.11,9.2,2.3
India,TAMIL NADU,DINDIGUL,"Calendar Year (Jan - Dec), 2021",Swami Chickens Pvt Ltd,Meat,65% progress,48.56,10,6.5
India,MAHARASHTRA,PUNE,"Calendar Year (Jan - Dec), 2021",Nature Delight Dairy & Dairy Products Private Limited,Dairy,Commercial production started,37.61,9.54,9.54
India,MAHARASHTRA,NASHIK,"Calendar Year (Jan - Dec), 2021",DJ Exports Pvt. Ltd.,F&V,65% progress,14.87,4.02,2.65
India,MADHYA PRADESH,JABALPUR,"Calendar Year (Jan - Dec), 2021",Om Agro Products,F&V,Commercial production started,17.22,3.97,3.97
India,MAHARASHTRA,NASHIK,"Calendar Year (Jan - Dec), 2021",Sam Agri Fresh Pvt Ltd,F&V,Reported completion of project,18.9,5.83,3.91
India,KARNATAKA,DAKSHINA KANNADA,"Calendar Year (Jan - Dec), 2021",Yashaswi Fish Meal & Oil Company,Marine,Reported completion of project,73.05,10,8.25
